embedding,cell_type,factor,mean_z_usage,n_cells
atlas SP,Pancreatic endocrine cell,F9,-0.014724927954375744,1444
atlas SP,Pancreatic endocrine cell,F10,1.089772343635559,1444
atlas SP,Pancreatic endocrine cell,F11,-0.07347294688224792,1444
atlas SP,Pancreatic endocrine cell,F12,0.7857165336608887,1444
atlas SP,Pancreatic endocrine cell,F13,0.8076131343841553,1444
atlas SP,Pancreatic endocrine cell,F14,-0.2377685010433197,1444
atlas SP,Pancreatic endocrine cell,F15,0.25731974840164185,1444
atlas SP,Pancreatic endocrine cell,F16,-0.016482984647154808,1444
atlas SP,Pancreatic endocrine cell,F17,-0.10690327733755112,1444
atlas SP,Pancreatic endocrine cell,F18,0.2577455937862396,1444
atlas SP,Pancreatic endocrine cell,F19,0.041136108338832855,1444
atlas SP,Pancreatic endocrine cell,F20,-0.065060555934906,1444
atlas SP,Oligodendrocyte,F1,-0.566513180732727,1360
atlas SP,Oligodendrocyte,F2,-0.41118496656417847,1360
atlas SP,Oligodendrocyte,F3,-0.5117895007133484,1360
atlas SP,Oligodendrocyte,F4,-0.284029096364975,1360
atlas SP,Oligodendrocyte,F5,-0.3182303309440613,1360
atlas SP,Oligodendrocyte,F6,-0.6093471050262451,1360
atlas SP,Oligodendrocyte,F7,-0.23280441761016846,1360
atlas SP,Oligodendrocyte,F8,-0.015430320985615253,1360
atlas SP,Oligodendrocyte,F9,-0.2737536132335663,1360
atlas SP,Oligodendrocyte,F10,4.17474365234375,1360
atlas SP,Oligodendrocyte,F11,-0.16902384161949158,1360
atlas SP,Oligodendrocyte,F12,-0.24350281059741974,1360
atlas SP,Oligodendrocyte,F13,-0.7312920093536377,1360
atlas SP,Oligodendrocyte,F14,-0.23543596267700195,1360
atlas SP,Oligodendrocyte,F15,-0.336122989654541,1360
atlas SP,Oligodendrocyte,F16,-0.14438320696353912,1360
atlas SP,Oligodendrocyte,F17,-0.20834684371948242,1360
atlas SP,Oligodendrocyte,F18,-0.19940142333507538,1360
atlas SP,Oligodendrocyte,F19,-0.21172519028186798,1360
atlas SP,Oligodendrocyte,F20,-0.10727407038211823,1360
atlas SP,Specialized intestinal cell,F1,-0.5677982568740845,1342
atlas SP,Specialized intestinal cell,F2,-0.4052138924598694,1342
atlas SP,Specialized intestinal cell,F3,-0.5991244316101074,1342
atlas SP,Specialized intestinal cell,F4,-0.30295073986053467,1342
atlas SP,Specialized intestinal cell,F5,-0.33284375071525574,1342
atlas SP,Specialized intestinal cell,F6,-0.5958530306816101,1342
atlas SP,Specialized intestinal cell,F7,-0.16094659268856049,1342
atlas SP,Specialized intestinal cell,F8,-0.4403466284275055,1342
atlas SP,Specialized intestinal cell,F9,-0.19908657670021057,1342
atlas SP,Specialized intestinal cell,F10,-0.35953226685523987,1342
atlas SP,Specialized intestinal cell,F11,3.924468517303467,1342
atlas SP,Specialized intestinal cell,F12,2.2185616493225098,1342
atlas SP,Specialized intestinal cell,F13,1.6041910648345947,1342
atlas SP,Specialized intestinal cell,F14,-0.2546531558036804,1342
atlas SP,Specialized intestinal cell,F15,-0.20196853578090668,1342
atlas SP,Specialized intestinal cell,F16,0.22261951863765717,1342
atlas SP,Specialized intestinal cell,F17,0.1658492386341095,1342
atlas SP,Specialized intestinal cell,F18,-0.08265773206949234,1342
atlas SP,Specialized intestinal cell,F19,-0.12200374901294708,1342
atlas SP,Specialized intestinal cell,F20,-0.020772762596607208,1342
atlas SP,Monocyte,F1,-0.5694970488548279,1281
atlas SP,Monocyte,F2,-0.415513813495636,1281
atlas SP,Monocyte,F3,-0.6071375012397766,1281
atlas SP,Monocyte,F4,-0.3050895035266876,1281
atlas SP,Monocyte,F5,-0.3348674774169922,1281
atlas SP,Monocyte,F6,0.8823940753936768,1281
atlas SP,Monocyte,F7,-0.1620798110961914,1281
atlas SP,Monocyte,F8,-0.33386310935020447,1281
atlas SP,Monocyte,F9,0.2851504981517792,1281
atlas SP,Monocyte,F10,-0.3541223704814911,1281
atlas SP,Monocyte,F11,-0.1311310976743698,1281
atlas SP,Monocyte,F12,0.06964866071939468,1281
atlas SP,Monocyte,F13,0.43617767095565796,1281
atlas SP,Monocyte,F14,-0.2848990559577942,1281
atlas SP,Monocyte,F15,0.01751110702753067,1281
atlas SP,Monocyte,F16,0.034615349024534225,1281
atlas SP,Monocyte,F17,0.44146203994750977,1281
atlas SP,Monocyte,F18,0.05840316414833069,1281
atlas SP,Monocyte,F19,-0.07847276329994202,1281
atlas SP,Monocyte,F20,-0.04649552330374718,1281
atlas SP,Immune progenitor,F1,-0.5715014934539795,1204
atlas SP,Immune progenitor,F2,-0.4144825339317322,1204
atlas SP,Immune progenitor,F3,-0.6110437512397766,1204
atlas SP,Immune progenitor,F4,-0.3131401240825653,1204
atlas SP,Immune progenitor,F5,-0.3422870337963104,1204
atlas SP,Immune progenitor,F6,0.0020914319902658463,1204
atlas SP,Immune progenitor,F7,-0.16244162619113922,1204
atlas SP,Immune progenitor,F8,-0.4018532335758209,1204
atlas SP,Immune progenitor,F9,1.761709213256836,1204
atlas SP,Immune progenitor,F10,-0.4324604570865631,1204
atlas SP,Immune progenitor,F11,-0.13134810328483582,1204
atlas SP,Immune progenitor,F12,0.17912529408931732,1204
atlas SP,Immune progenitor,F13,1.2877215147018433,1204
atlas SP,Immune progenitor,F14,-0.2906990647315979,1204
